vertical,page,group,question,option,entity,name,type,relevant,required,readonly,constraint,calculate
Energy Questions,,,,,Questionnaire,questionnaireEnergy,NA,NA,NA,NA,NA,NA
,Customer Details,,,,Page,contactPage,NA,,,,,
,,,,,Group,contectGroup,NA,,,,,
,,,Title,,Question,contactTitle,Enum,,TRUE,,,
,,,,Mr,Option,contactTitleOptionMr,NA,,,,,
,,,,Mrs,Option,contactTitleOptionMrs,NA,,,,,
,,,,Miss,Option,contactTitleOptionMiss,NA,,,,,
,,,,Ms,Option,contactTitleOptionMs,NA,,,,,
,,,,Dr,Option,contactTitleOptionDr,NA,,,,,
,,,First Name,,Question,contactFirstName,String,,TRUE,,,
,,,Surname,,Question,contactSurname,String,,TRUE,,,
,,,Suburb / Postcode,,Question,contactSuburbPostcode,String,,,,,
,,,Email,,Question,contactEmail,String,,#contactMobileNumber = null and #contactOtherNumber = null,,email,
,,,Mobile Number,,Question,contactMobileNumber,String,,#contactTitle = #contactTitleOptionDr,,phone,
,,,Other Number,,Question,contactOtherNumber,String,,,,phone,
,Your Usage,,,,Page,usagePage,,,,,,
,,Define Your Needs,,,Group,needsGroup,,,,,,
,,,Customer origin,,Question,needsOrigin,Enum,,,,,
,,,,Inbound call,Option,originInboundCall,NA,,,,,
,,,,Outbound,Option,originOutbound,NA,,,,,
,,,,Outbound - WeSelect,Option,originOutboundWebSelect,NA,,,,,
,,,,Call Back Request,Option,originCallBackRequest,NA,,,,,
,,,,Outbound - Click for call-back,Option,originClickForCallBack,NA,,,,,
,,,,Compliance review,Option,originComplianceReview,NA,,,,,
,,,,Inbound - Your Porter,Option,originInboundYorPartner,NA,,,,,
,,,,Outbound - Your Porter,Option,originOutboundYourPartner,NA,,,,,
,,,How did you hear about iselect?,,Question,heardAbout,Enum,,,,,
,,,,Internet Search,Option,,NA,,,,,
,,,,Word of Mouth,Option,,NA,,,,,
,,,,Email Campaign,Option,,NA,,,,,
,,,,Direct Mail,Option,,NA,,,,,
,,,,Radio,Option,,NA,,,,,
,,,,TV Advertisement ,Option,,NA,,,,,
,,,,Special Promotion,Option,,NA,,,,,
,,,,Newspaper / Magazine,Option,,NA,,,,,
,,,,Outdoor Advertising,Option,,NA,,,,,
,,,,Australia Post Offer,Option,,NA,,,,,
